ref	value	Footprint	Notes
C1	0.1uF	603	X5R
C2	0.1uF	603	X5R
C3	0.1uF	603	X5R
C4	0.1uF	603	X5R
C5	0.1uF	603	X5R
C6	0.1uF	603	X5R
C7	0.1uF	603	X5R
C8	0.1uF	603	X5R
C9	0.1uF	603	X5R
C10	0.1uF	603	X5R
C11	0.1uF	603	X5R
C12	1uF	603	X5R
C13	47uF	1206	
C14	10uF	1206	
C15	10uF	1206	
CON1	RCA_JACK	Switchcraft	PJRAN1X1U04X
F1	FUSE	1210	Bourns MF USMF075-2
IC1	ATTINY2313A-S	SOIC-20	
J1	USB	USB-B	Multicomp USB-B-S-RA
J2	VGA-HD-15		TE-Connectivity 1734344-1
P1	CONN_2	DIP 1x2	
P2	CONN_4	DIP 1x4	
P3	CONN_6	DIP 1x6	
P4	CONN_6	DIP 1x6	
P5	CONN_2	DIP 1x2	
P6	CONN_3X2	DIP 2x3	
P7	CONN_4	DIP 1x4	
P8	CONN_4X2	DIP 2x4	
P9	CONN_4	DIP 1x4	
P10	CONN_4X2	DIP 2x4	
R1	10k	805	+/- 5%
R2	4.7k	805	+/- 5%
R3	10k	805	+/- 5%
R4	10k	805	+/- 5%
R5	510	805	+/- 1%
R6	1k	805	+/- 1%
R7	2k	805	+/- 1%
R8	510	805	+/- 1%
R9	1k	805	+/- 1%
R10	2k	805	+/- 1%
R11	510	805	+/- 1%
R12	1k	805	+/- 1%
R13	2k	805	+/- 1%
R14	510	805	+/- 1%
R15	1k	805	+/- 1%
R16	2k	805	+/- 1%
R17	4k	805	+/- 1%
R18	1k	805	+/- 1%
R19	1.5k	805	+/- 1%
R20	10k	805	+/- 5%
R21	10k	805	+/- 5%
R22	10k	805	+/- 5%
SW1	SPSTX3	3 Dip Switch	Ebay Breadboard Switch
U1	LTC6903	MSOP 8	
U2	XC95144PQ100	QFP100	
U3	IS61LV5128AL	TSOP II â€“ 44	
U4	NCP1117ST33T3G	SOT223	 NCP1117LPST33T3G is also fine
